country,countryCode,province_name,province_code,Province
中国,CN,安徽省,340000,Anhui
中国,CN,澳门特别行政区,820000,Macao
中国,CN,北京市,110000,Beijing
中国,CN,福建省,350000,Fujian
中国,CN,甘肃省,620000,Gansu
中国,CN,广东省,440000,Guangdong
中国,CN,广西壮族自治区,450000,Guangxi
中国,CN,贵州省,520000,Guizhou
中国,CN,海南省,460000,Hainan
中国,CN,河北省,130000,Hebei
中国,CN,河南省,410000,Henan
中国,CN,黑龙江省,230000,Heilongjiang
中国,CN,湖北省,420000,Hubei
中国,CN,湖南省,430000,Hunan
中国,CN,吉林省,220000,Jilin
中国,CN,江苏省,320000,Jiangsu
中国,CN,江西省,360000,Jiangxi
中国,CN,辽宁省,210000,Liaoning
中国,CN,内蒙古自治区,150000,Inner Mongol
中国,CN,宁夏回族自治区,640000,Ningxia
中国,CN,青海省,630000,Qinghai
中国,CN,山东省,370000,Shandong
中国,CN,山西省,140000,Shanxi
中国,CN,陕西省,610000,Shannxi
中国,CN,上海市,310000,Shangha
中国,CN,四川省,510000,Sichuan
中国,CN,台湾省,710000,Taiwan
中国,CN,天津市,120000,Tianjin
中国,CN,西藏自治区,540000,Tibet
中国,CN,香港特别行政区,810000,Hongkong
中国,CN,新疆维吾尔自治区,650000,Sinkiang
中国,CN,云南省,530000,Yunnan
中国,CN,浙江省,330000,Zhejiang
中国,CN,重庆市,500000,Chongqing
